repo_name,file_path,metric,commit_hash,commit_date,metric_value
flask,src/flask/app.py,loc_after,6a4bf9eec13e035cf10ecc16e462049b4c967e41,2021-10-01T09:39:10-07:00,2093
flask,src/flask/app.py,loc_after,a74e266474f0981e9fc0d54d5dc430386823e4d7,2022-05-03T12:11:55-06:00,2095
flask,src/flask/app.py,loc_after,96c97dec095f204b8a557c5ea804afdd329e3c43,2022-06-06T10:04:05-07:00,2294
flask,src/flask/app.py,loc_after,84c722044ad03f7f5384f5314c8350b3a13d8dfa,2022-07-01T12:01:44-07:00,2304
flask,src/flask/app.py,loc_after,82c2e0366ce6b74a3786a64631ce58b85b3a7d4e,2022-07-08T11:13:09-07:00,2323
flask,src/flask/app.py,loc_after,e0dad454810dd081947d3ca2ff376c5096185698,2022-07-08T11:13:09-07:00,2324
flask,src/flask/app.py,loc_after,69f9845ef2da3051d74d4dade3e88ccf5b2ee3de,2022-07-13T07:42:52-07:00,2362
flask,src/flask/app.py,loc_after,5d8e35653fca0d7ee01519d556c7851089de82ea,2022-08-01T10:34:13-07:00,2362
flask,src/flask/app.py,loc_after,ef95998d79eed3b8350d8db825e3d98f25c179f2,2022-08-01T15:11:21-07:00,2383
flask,src/flask/app.py,loc_after,bfdd37110c67ebeb42061fb43cf684b05291241f,2022-08-01T16:58:55-07:00,2486
flask,src/flask/app.py,loc_after,714ccefeca33db9e87e8ef4abd0008af05c32a4d,2022-08-03T09:22:03-07:00,2548
flask,src/flask/app.py,loc_after,d178653b5f7a5ee2ba15e215ce60caeeb9ed82e1,2022-11-25T07:39:54-08:00,2548
flask,src/flask/app.py,loc_after,79032ca5f1c4747e5aeaa193bdeb2e4eae410ea6,2022-12-24T11:27:20-07:00,2551
flask,src/flask/app.py,loc_after,c4b39ba2f3fede0555f18fc03b0f2499bb0d424b,2023-03-11T08:19:22-08:00,2552
flask,src/flask/app.py,loc_after,09112cfc477a270f4b2990e1daf39db1dbe30e98,,2548
flask,src/flask/app.py,loc_after,166a2a6207027bff07fdfc5590ce04f9b37e9e8f,,2090
flask,src/flask/app.py,loc_after,190dd4df86874495f56bb088fbd0cb1d9f0e77a0,,2086
flask,src/flask/app.py,loc_after,1b552d0b0163e1c1ae3d4895438a9ce2b2bc098e,,2083
flask,src/flask/app.py,loc_after,22933a8cb424ffd65f2bec5bbfdbfa7e42105470,,2094
flask,src/flask/app.py,loc_after,39f93632964ecabfcb9c1980e2add922098aad80,,2277
flask,src/flask/app.py,loc_after,3f6cdbd8b35f2b887dddbdac5ef6461833b6dd3b,,2091
flask,src/flask/app.py,loc_after,4f03a769d44f6740490dd4ddf70e094c12a6090c,,2302
flask,src/flask/app.py,loc_after,5544d09477af3221d988ec18b086930c2d9e67cd,,2313
flask,src/flask/app.py,loc_after,61f62e6005f72c44a90026e2589b6bc5234f2f24,,2091
flask,src/flask/app.py,loc_after,69e2300608497bba103fd05735c878c0d642dd68,,2278
flask,src/flask/app.py,loc_after,6f79cb8a23467aa01f94f6ad53790f468ba77c76,,2084
flask,src/flask/app.py,loc_after,762382e436062183b1e1fa6f3bda594090a452e7,,2313
flask,src/flask/app.py,loc_after,81be290ec8889c157c84bc7ce857f883396c5daf,,2091
flask,src/flask/app.py,loc_after,88863288225d5ee13a79c463f2a39391b6a52c61,,2082
flask,src/flask/app.py,loc_after,91044c4d769efa7f20455e1b70457a7da95c26d8,,2324
flask,src/flask/app.py,loc_after,92acd05d9bd33419ab885e4472b28a1d5cc15d2e,,2184
flask,src/flask/app.py,loc_after,9b44bf2818d8e3cde422ad7f43fb33dfc6737289,,2321
flask,src/flask/app.py,loc_after,a406c297aafa28074d11ec6fd27c246c70418cb4,,2287
flask,src/flask/app.py,loc_after,a6a7a57380cd8f7410753c3b819ba6d09198d8c9,,2548
flask,src/flask/app.py,loc_after,c4c7f504be222c3aca9062656498ec3c72e2b2ad,,2551
flask,src/flask/app.py,loc_after,c9a1f7ad6545c9cc27c41c385f1d4cd9c7cf1a98,,2095
flask,src/flask/app.py,loc_after,ca2bfbb0ac66fbbeeedbf6bbe317bee45cb23d29,,2308
flask,src/flask/app.py,loc_after,eb5dd9f5ef255c578cbbe13c1cb4dd11389d5519,,2136
flask,src/flask/app.py,loc_after,f8cb0b0dd5ea30729db6b131aeeb30915ea4860b,,2310
flask,src/flask/app.py,loc_after,fac630379d31baaa1667894c2b5613304285a4bb,,2139
flask,src/flask/app.py,loc_after,fdab801fbbd9de5adbdb3320ca4a1cb116c892f5,,2106
next.js,packages/next/src/server/app-render/app-render.tsx,loc_after,718141176db250839ae2f493d8cac7637f22290c,2025-10-16T09:32:51+02:00,3935
