repo_name,file_path,score,score_label
flask,CHANGES.rst,88.0,commit_count
flask,src/flask/app.py,41.0,commit_count
flask,.pre-commit-config.yaml,30.0,commit_count
flask,requirements/dev.txt,27.0,commit_count
flask,src/flask/__init__.py,23.0,commit_count
flask,src/flask/cli.py,22.0,commit_count
flask,src/flask/scaffold.py,22.0,commit_count
flask,requirements/tests.txt,20.0,commit_count
flask,requirements/typing.txt,20.0,commit_count
flask,src/flask/helpers.py,19.0,commit_count
next.js,pnpm-lock.yaml,75.0,commit_count
next.js,packages/next/package.json,53.0,commit_count
next.js,packages/eslint-config-next/package.json,50.0,commit_count
next.js,packages/next-rspack/package.json,50.0,commit_count
next.js,packages/next-swc/package.json,50.0,commit_count
next.js,lerna.json,49.0,commit_count
next.js,packages/create-next-app/package.json,49.0,commit_count
next.js,packages/eslint-plugin-internal/package.json,49.0,commit_count
next.js,packages/eslint-plugin-next/package.json,49.0,commit_count
next.js,packages/font/package.json,49.0,commit_count
